Image Name,Image Source,Original Size (KB),New Size (KB),Location,New Name
74ad6ce4-3ccb-4b6f-8489-0bf8286703a9.jpg_760x760Q50s150.jpg,https://icms-image.slatic.net/images/ims-web/74ad6ce4-3ccb-4b6f-8489-0bf8286703a9.jpg_760x760Q50s150.jpg,41.9072265625,41.9072265625,0.0,74ad6ce4-3ccb-4b6f-8489-0bf8286703a9.jpg_760x760Q50s150.jpg
c4ee904d-5e65-4b83-a78a-c706ec07bcad.jpg,https://icms-image.slatic.net/images/ims-web/c4ee904d-5e65-4b83-a78a-c706ec07bcad.jpg,123.74609375,123.74609375,0.0,c4ee904d-5e65-4b83-a78a-c706ec07bcad.jpg
c1c8f3d7-73e6-4497-aabc-b8c401f8b121.jpg,https://icms-image.slatic.net/images/ims-web/c1c8f3d7-73e6-4497-aabc-b8c401f8b121.jpg,59.6103515625,59.6103515625,0.0,c1c8f3d7-73e6-4497-aabc-b8c401f8b121.jpg
038af501-eb29-435e-85b2-5478439c1ffd.png,https://icms-image.slatic.net/images/ims-web/038af501-eb29-435e-85b2-5478439c1ffd.png,10.8095703125,10.8095703125,0.0001002291934500222,038af501-eb29-435e-85b2-5478439c1ffd.png
ba5cad01-52dc-4546-82e0-8f227a6fff74.png,https://icms-image.slatic.net/images/ims-web/ba5cad01-52dc-4546-82e0-8f227a6fff74.png,12.1875,12.1875,0.0001002291934500222,ba5cad01-52dc-4546-82e0-8f227a6fff74.png
eeb41c48-d76c-4421-86fd-b8df8ab1a2c6.png,https://icms-image.slatic.net/images/ims-web/eeb41c48-d76c-4421-86fd-b8df8ab1a2c6.png,7.828125,7.828125,0.0001002291934500222,eeb41c48-d76c-4421-86fd-b8df8ab1a2c6.png
f7c26d46-5fc9-4c53-9f9c-3b2b80e101b1.png,https://icms-image.slatic.net/images/ims-web/f7c26d46-5fc9-4c53-9f9c-3b2b80e101b1.png,39.435546875,39.435546875,0.0001002291934500222,f7c26d46-5fc9-4c53-9f9c-3b2b80e101b1.png
45fc4db2-d3e1-4de9-aa27-40c6ae72d809.png,https://icms-image.slatic.net/images/ims-web/45fc4db2-d3e1-4de9-aa27-40c6ae72d809.png,9.7431640625,9.7431640625,0.0001002291934500222,45fc4db2-d3e1-4de9-aa27-40c6ae72d809.png
4617dcbe387e04f207b06c91f07bd61c.jpg,https://static-01.daraz.pk/p/4617dcbe387e04f207b06c91f07bd61c.jpg,18.322265625,18.322265625,0.0001604475395147533,4617dcbe387e04f207b06c91f07bd61c.jpg
f8d5e52eac553b87444eed3d7a5df800.jpg,https://static-01.daraz.pk/original/f8d5e52eac553b87444eed3d7a5df800.jpg,18.0966796875,18.0966796875,0.0001604475395147533,f8d5e52eac553b87444eed3d7a5df800.jpg
0060fae6b1cb7db104f724737f3d5753.jpg,https://static-01.daraz.pk/p/0060fae6b1cb7db104f724737f3d5753.jpg,49.5849609375,49.5849609375,0.0001604475395147533,0060fae6b1cb7db104f724737f3d5753.jpg
072ec5121a75b3b7ec064b6651fc4019.jpg,https://static-01.daraz.pk/p/mdc/072ec5121a75b3b7ec064b6651fc4019.jpg,141.548828125,141.548828125,0.00020894553634540918,072ec5121a75b3b7ec064b6651fc4019.jpg
9d9ca531b517ee607cc1e98e4329e75b.jpg,https://static-01.daraz.pk/original/9d9ca531b517ee607cc1e98e4329e75b.jpg,37.1806640625,37.1806640625,0.00020894553634540918,9d9ca531b517ee607cc1e98e4329e75b.jpg
15fc3de8cb6b7b7840ad72658cd9d3d9.jpg,https://static-01.daraz.pk/p/15fc3de8cb6b7b7840ad72658cd9d3d9.jpg,126.9658203125,126.9658203125,0.00020894553634540918,15fc3de8cb6b7b7840ad72658cd9d3d9.jpg
957b35a4d44df4209efbfe1b3610c2d8.jpg,https://static-01.daraz.pk/p/957b35a4d44df4209efbfe1b3610c2d8.jpg,41.0634765625,41.0634765625,0.0002574435331760651,957b35a4d44df4209efbfe1b3610c2d8.jpg
48c88640edd99e085ff6896c699e9877.jpg,https://static-01.daraz.pk/p/48c88640edd99e085ff6896c699e9877.jpg,30.599609375,30.599609375,0.0002574435331760651,48c88640edd99e085ff6896c699e9877.jpg
d51aa22edd4f8d29ae656d1fe50c40d8.jpg,https://static-01.daraz.pk/p/d51aa22edd4f8d29ae656d1fe50c40d8.jpg,48.232421875,48.232421875,0.0002574435331760651,d51aa22edd4f8d29ae656d1fe50c40d8.jpg
