New Name,Image Name,Image Source,Original Size (KB),New Size (KB),1/SSIM Value,Area/1000,Normalized Area,Image Value,Reduction Factor,Target Size of Image,Reduced Size of Image
5931466588b47.webp,5931466588b47.png,https://i.dawn.com/medium/2017/06/5931466588b47.png,2.1123046875,1.0625,1.0118770755696798,4.2,0.0009717363540451,1.012848811923725,-,1.0625,1.0625
6232945fb618a.jpg,6232945fb618a.jpg,https://i.dawn.com/thumbnail/2022/03/6232945fb618a.jpg,5.482421875,5.482421875,1.0209364038353688,54.0,0.0124937531234382,1.0334301569588071,-,5.482421875,5.482421875
6232cbb8dbe4b.jpg,6232cbb8dbe4b.jpg,https://i.dawn.com/thumbnail/2022/03/6232cbb8dbe4b.jpg,7.048828125,7.048828125,1.03294195137452,54.0,0.0124937531234382,1.0454357044979583,-,7.048828125,7.048828125
6232d31d6de64.jpg,6232d31d6de64.jpg,https://i.dawn.com/thumbnail/2022/03/6232d31d6de64.jpg,24.7255859375,24.7255859375,1.0572754463594805,54.0,0.0124937531234382,1.0697691994829188,0.04103915442488167,50.50610536243903,24.7255859375
5c611c42d5669.webp,5c611c42d5669.png,https://i.dawn.com/thumbnail/2019/02/5c611c42d5669.png,2.3818359375,0.828125,1.628969106718411,13.288,0.0030743887315601,1.6320434954499714,-,0.828125,0.828125
6232bcf47873f.jpg,6232bcf47873f.jpg,https://i.dawn.com/medium/2022/03/6232bcf47873f.jpg,38.8115234375,38.8115234375,1.116315270648251,150.0,0.0347048697873285,1.1510201404355798,0.044156153787487114,54.34213708454875,38.8115234375
6233537bf146e.jpg,6233537bf146e.jpg,https://i.dawn.com/medium/2022/03/6233537bf146e.jpg,36.138671875,36.138671875,1.0571355658709154,150.0,0.0347048697873285,1.0918404356582438,0.041885864977199885,51.54813590537208,36.138671875
6232ee1ee5d78.jpg,6232ee1ee5d78.jpg,https://i.dawn.com/medium/2022/03/6232ee1ee5d78.jpg,43.0478515625,43.0478515625,1.0965729401698092,150.0,0.0347048697873285,1.1312778099571377,0.04339878617061849,53.41005918987181,43.0478515625
62314a9063f69.jpg,62314a9063f69.jpg,https://i.dawn.com/medium/2022/03/62314a9063f69.jpg,13.134765625,13.134765625,1.0180700429757663,150.0,0.0347048697873285,1.0527749127630948,-,13.134765625,13.134765625
5d2454a3d7d5e.jpg,5d2454a3d7d5e.jpg,https://i.dawn.com/thumbnail/2019/07/5d2454a3d7d5e.jpg,18.2919921875,18.2919921875,1.136774470285582,54.0,0.0124937531234382,1.1492682234090204,-,18.2919921875,18.2919921875
