,Image,Original Size (kB)
0,home_icon.svg,0.2265625
1,search_activity_icon.svg,0.3837890625
2,save_icon.svg,0.9921875
3,settings_icon.svg,0.8486328125
4,privacy_advisor_icon.svg,0.7275390625
5,explicit_icon.svg,0.2490234375
6,how_search_works_icon.svg,0.4296875
7,help_icon.svg,0.4541015625
8,feedback_icon.svg,0.2666015625
9,googlelogo_color_160x56dp.png,6.8828125
