New Name,Image Name,Image Source,Original Size (KB),New Size (KB),1/SSIM Value,Area/1000,Normalized Area,Image Value,Reduction Factor,Target Size of Image,Reduced Size of Image,Factor,Black and White,Removed
S21cea76f4606487dbb4a76cef1002f62H.jpg_120x120Q90.jpg_.webp,S21cea76f4606487dbb4a76cef1002f62H.jpg_120x120Q90.jpg_.webp,https://ae04.alicdn.com/kf/S21cea76f4606487dbb4a76cef1002f62H.jpg_120x120Q90.jpg_.webp,4.978515625,4.978515625,1.0529599159772416,14.4,0.0313234142521534,1.084283330229395,0.043821502149821306,6.311484283109114,4.978515625,100.0,False,False
He6e996b572ee47ef95d6424b9751f38dU.jpg_350x350.jpg,He6e996b572ee47ef95d6424b9751f38dU.jpg_350x350.jpg,https://ae04.alicdn.com/kf/He6e996b572ee47ef95d6424b9751f38dU.jpg_350x350.jpg,17.7958984375,17.7958984375,1.0516793586818078,91.7,0.199469242147394,1.251148600829202,0.05056539151015385,7.282787173622628,7.048828125,100.0,False,False
S56e9e3a2fc3e49b18e4a37573e91e2692.jpg_350x350.jpg,S56e9e3a2fc3e49b18e4a37573e91e2692.jpg_350x350.jpg,https://ae04.alicdn.com/kf/S56e9e3a2fc3e49b18e4a37573e91e2692.jpg_350x350.jpg,31.814453125,31.814453125,1.0441088354174457,122.5,0.266466544853389,1.3105753802708344,0.05296713528915993,7.628703387572263,7.5556640625,100.0,False,False
H06d03d1faa37489385560f5e52e1a501W.jpg_120x120Q90.jpg_.webp,H06d03d1faa37489385560f5e52e1a501W.jpg_120x120Q90.jpg_.webp,https://ae04.alicdn.com/kf/H06d03d1faa37489385560f5e52e1a501W.jpg_120x120Q90.jpg_.webp,5.2900390625,5.2900390625,1.0538128448569424,14.4,0.0313234142521534,1.0851362591090958,0.04385597342102267,6.316449080656728,5.2900390625,100.0,False,False
He9662896d50f40fea72c62a7b3ec0427A.webp,He9662896d50f40fea72c62a7b3ec0427A.png_.webp,https://ae01.alicdn.com/kf/He9662896d50f40fea72c62a7b3ec0427A.png_.webp,20.1982421875,12.158203125,1.101586667089463,40.0,0.0870094840337596,1.1885961511232226,0.04803732321578356,6.918676804881889,6.376953125,100.0,False,False
Se639a2da60584a8790a15561236c0cdfK.jpg_350x350.jpg,Se639a2da60584a8790a15561236c0cdfK.jpg_350x350.jpg,https://ae04.alicdn.com/kf/Se639a2da60584a8790a15561236c0cdfK.jpg_350x350.jpg,46.6552734375,46.6552734375,1.0674670357635856,122.5,0.266466544853389,1.3339335806169743,0.053911161078496535,7.764668693185867,7.2958984375,100.0,True,False
115x115.webp,115x115.png,https://ae01.alicdn.com/kf/Hf3f5f73389474daeb87b34b8ca282b8ah/115x115.png,2.9365234375,2.123046875,1.063574690593157,13.225,0.0287675106586617,1.0923422012518187,-,2.123046875,,,,
368x55.webp,368x55.png_140x140.png_.webp,https://ae01.alicdn.com/kf/H6a103b65f0b64afdaf4fa405254b44few/368x55.png_140x140.png_.webp,4.326171875,2.873046875,1.3747257975902345,2.94,0.0063951970764813,1.3811209946667158,-,2.873046875,,,,
Hc373a05fcddd4750ab258accbfd7e14f1.webp,Hc373a05fcddd4750ab258accbfd7e14f1.png_.webp,https://ae01.alicdn.com/kf/Hc373a05fcddd4750ab258accbfd7e14f1.png_.webp,45.6240234375,24.421875,1.0126842745309097,95.472,0.2076742364917776,1.220358511022687,0.04932100459666701,7.10356172352904,7.095703125,100.0,False,False
S46c1fd139c36438d80a4e64fd15f9ffcd.jpg_120x120Q90.jpg_.webp,S46c1fd139c36438d80a4e64fd15f9ffcd.jpg_120x120Q90.jpg_.webp,https://ae04.alicdn.com/kf/S46c1fd139c36438d80a4e64fd15f9ffcd.jpg_120x120Q90.jpg_.webp,6.1083984375,6.1083984375,1.020619301506718,14.4,0.0313234142521534,1.0519427157588714,0.04251445050839585,6.123233413390756,6.1083984375,100.0,False,False
